기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20253,11740700,둔촌2동,3414406,7,4506159000,784969000,83869000,136089000,569119000,868999000,150756000,28047000,303222000,335144000,1245945000,6677641,3098637,3579004,1281325,759362,997949,1050346,968127,1620531,1856009,1416164,759007,734474,1030669,881319,961900,954018,954472,951764,941417,938569,975503
20253,11740690,둔촌1동,3596734,7,24319000,8892000,620000,0,0,0,3587000,0,5894000,2084000,3242000,30002,13846,16156,6659,2516,4352,5649,3846,6980,8401,6401,3331,3256,4665,3948,4200,4206,4238,4229,4237,4360,4532
20253,11740685,길동,2840603,6,12816843000,3334686000,114347000,415497000,3178451000,148421000,421273000,506382000,742858000,491356000,3463572000,18306303,8294964,10011339,2507243,2213064,2922263,2976562,2867254,4819916,4915275,3679956,2103548,2110430,3039907,2457186,2582521,2589839,2594920,2582295,2599532,2660693,2696503
20253,11740660,성내3동,2897346,6,7999998000,1610288000,207265000,51381000,1447738000,294457000,464505000,166993000,512525000,377892000,2866954000,6680704,3100063,3580641,941998,886276,1087042,1167095,1021545,1576746,1862006,1357223,758727,747308,1070199,885242,944868,945197,948454,938577,946974,963368,993264
20253,11740650,성내2동,2824592,6,7327192000,1540489000,519876000,124933000,2296798000,158866000,166640000,159410000,261968000,176972000,1921240000,8182706,3812368,4370337,1106351,1132456,1469108,1282904,1181197,2010690,2280834,1647752,898226,917727,1347781,1090384,1148652,1138541,1148856,1140149,1148255,1215969,1242282
20253,11740640,성내1동,3438376,7,6420443000,999515000,354762000,114828000,1845939000,650943000,191412000,62985000,388944000,248218000,1562897000,5482732,2462032,3020701,961989,618285,860693,948826,851068,1241872,1402180,1149227,687177,675024,890061,679064,801177,802713,801149,798152,789252,738369,751920
20253,11740620,천호3동,3165328,7,6355660000,882675000,123274000,61642000,2597947000,17131000,110043000,217761000,504491000,352688000,1488008000,7537537,3530166,4007371,937108,1165388,1414126,1148688,1092142,1780085,2154741,1537012,812599,809704,1194365,1029117,1061146,1051314,1054741,1050348,1059941,1113916,1146129
20253,11740610,천호2동,2749741,6,74578911000,1461150000,158103000,124852000,2801500000,384870000,134651000,598563000,64922766000,619739000,3372717000,10909991,5166234,5743758,1392467,1381274,1896277,1770285,1710179,2759511,2841789,2216303,1279662,1306657,1838493,1427089,1538949,1532440,1534512,1534188,1546661,1603355,1619884
20253,11740600,천호1동,2473111,6,3324925000,897203000,90251000,55076000,605849000,32005000,254977000,32009000,224571000,143692000,989292000,10199559,4751410,5448149,1724565,1117406,1493965,1686809,1569986,2606827,2943532,2090918,1117087,1121719,1571549,1354755,1454791,1442215,1452020,1443626,1434669,1466908,1505327
20253,11740590,암사3동,4470889,8,1754291000,535895000,21838000,27376000,212006000,10482000,385688000,0,145278000,95922000,319806000,1651297,772694,878602,385191,163455,223780,276615,237552,364704,461603,373012,182340,171781,244484,218076,237555,238271,239159,241516,236669,228086,230040
20253,11740580,암사2동,3688535,7,2902861000,525382000,15527000,25741000,613618000,124712000,234168000,43265000,241703000,117286000,961459000,2273718,1065194,1208525,322555,270236,400525,397489,364411,518504,618718,455720,251096,257368,385081,305736,320598,315964,315776,315391,321392,341667,342932
20253,11740570,암사1동,2852157,6,6730150000,3016804000,93031000,36967000,844177000,486027000,190475000,156699000,270087000,299396000,1336487000,8363335,3907681,4455653,1366060,906831,1244850,1427262,1335077,2083253,2415871,1686172,876543,881171,1348842,1154736,1173526,1163806,1166484,1158609,1162737,1243582,1294591
20253,11740560,고덕2동,2465499,6,2980426000,921236000,23417000,52790000,826689000,31770000,400378000,14131000,95563000,114951000,499501000,2166822,1011781,1155041,495782,189891,317436,423646,268935,471132,557124,472966,259941,251502,348143,277148,310460,309723,309910,309320,308731,308285,310394
20253,11740550,고덕1동,4618641,8,1765942000,881185000,17661000,9357000,159658000,22411000,250123000,10954000,70398000,50232000,293963000,3548896,1733558,1815338,1284756,247371,332195,663181,402287,619104,1022249,755878,387192,384418,531067,468091,507273,507228,507728,505778,501825,504913,514151
20253,11740540,명일2동,4514278,8,7136615000,941995000,32626000,7350000,2050869000,20261000,2128087000,41606000,370389000,184382000,1359050000,2187076,1028052,1159023,675787,204508,201959,351555,280145,473123,557411,447407,265042,268541,378046,270630,315472,317509,318750,315966,313802,307133,298447
